"","region","country","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law","Conflicts","Fatalities","year"
"83",2,9,-0.1841683,-0.0668174,-0.5064107,0.2495153,-0.1312758,1585,26,2020
"84",2,9,-0.1841683,-0.0668174,-0.5064107,0.2495153,-0.1312758,55,0,2021
"85",2,12,-0.8286991,-0.1004674,-0.6974149,-0.3006527,-0.6002193,6894,41,2018
"86",2,12,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703,4466,14,2019
"87",2,12,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703,4188,6670,2020
"88",2,12,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703,32,10,2021
"89",2,65,0.7081019,0.6145709,-0.4326036,1.125836,0.3276485,672,3,2018
"90",2,65,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792,879,3,2019
"91",2,65,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792,925,1,2020
"92",2,65,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792,164,0,2021
"93",2,93,-0.5017782,0.0217204,-0.030635,0.125332,-0.4316792,152,3,2018
"94",2,93,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133,554,5,2019
"95",2,93,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133,850,21,2020
"96",2,93,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133,148,0,2021
"97",2,97,-0.9544102,-0.6115379,-0.5845503,-0.3528325,-0.9075518,169,4,2018
"98",2,97,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015,282,8,2019
"99",2,97,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015,339,2,2020
"100",2,97,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015,83,0,2021
"101",2,171,-1.415277,-1.097704,-0.738063,-1.047201,-1.282325,25,62,2018
"102",2,171,-1.321173,-1.049005,-0.5751481,-1.011065,-1.227941,40,66,2019
"103",2,171,-1.321173,-1.049005,-0.5751481,-1.011065,-1.227941,28,2,2020
"104",2,178,-1.357909,-1.044102,-0.0044727,-1.979135,-1.451999,7,25,2018
"105",2,178,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785,15,8,2019
"106",2,178,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785,16,1,2020
"107",2,178,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785,1,0,2021
"108",2,186,-1.068842,-0.5470828,-0.2870433,-1.084991,-1.07343,26,2,2018
"109",2,186,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182,84,3,2019
"110",2,186,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182,222,3,2020
"111",2,186,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182,54,0,2021
