"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"236",2018,"Europe","Bulgaria",0,322,0,322,-0.1515384,0.2718757,0.4639785,0.5897425,-0.0298135
"237",2019,"Europe","Bulgaria",0,398,0,398,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966
"238",2020,"Europe","Bulgaria",0,911,0,911,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966
"239",2021,"Europe","Bulgaria",0,60,0,60,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966
"240",2018,"Europe","Croatia",0,165,0,165,0.1316723,0.4569183,0.8100172,0.5383773,0.3243876
"241",2019,"Europe","Croatia",2,232,2,232,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346
"242",2020,"Europe","Croatia",0,142,0,142,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346
"243",2021,"Europe","Croatia",0,9,0,9,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346
"244",2018,"Europe","Cyprus",1,97,1,97,0.6400679,0.9209022,0.4993934,0.873209,0.7528808
"245",2019,"Europe","Cyprus",1,216,1,216,0.6048772,0.9924904,0.5165108,1.012343,0.7598994
"246",2020,"Europe","Cyprus",0,271,0,271,0.6048772,0.9924904,0.5165108,1.012343,0.7598994
"247",2021,"Europe","Cyprus",0,30,0,30,0.6048772,0.9924904,0.5165108,1.012343,0.7598994
"248",2020,"Europe","Czech Republic",0,227,0,227,0.5062277,0.8856382,0.952085,1.245128,1.046504
"249",2021,"Europe","Czech Republic",0,32,0,32,0.5062277,0.8856382,0.952085,1.245128,1.046504
"250",2020,"Europe","Denmark",1,597,1,597,2.107368,1.937899,1.008821,1.565012,1.898457
"251",2021,"Europe","Denmark",0,58,0,58,2.107368,1.937899,1.008821,1.565012,1.898457
"252",2020,"Europe","Estonia",0,141,0,141,1.542329,1.174747,0.6388937,1.591124,1.281257
"253",2021,"Europe","Estonia",0,24,0,24,1.542329,1.174747,0.6388937,1.591124,1.281257
"254",2020,"Europe","Faroe Islands",0,2,0,2,,,,,
"255",2020,"Europe","Finland",2,248,2,248,2.153081,1.929313,0.9090824,1.851015,2.022146
"256",2021,"Europe","Finland",0,20,0,20,2.153081,1.929313,0.9090824,1.851015,2.022146
"257",2020,"Europe","France",6,5456,6,2500,1.300968,1.384611,0.313681,1.440292,1.412058
"258",2021,"Europe","France",0,1011,0,1011,1.300968,1.384611,0.313681,1.440292,1.412058
"259",2020,"Europe","Germany",13,4792,13,2500,1.895473,1.585309,0.5828653,1.72305,1.618773
"260",2021,"Europe","Germany",0,468,0,468,1.895473,1.585309,0.5828653,1.72305,1.618773
"261",2020,"Europe","Gibraltar",0,1,0,1,,,,,
"262",2018,"Europe","Greece",8,320,8,320,-0.0660192,0.3382609,0.1740548,0.4140628,0.1526495
"263",2019,"Europe","Greece",6,867,6,867,-0.0118192,0.4055903,0.2909985,0.529879,0.198838
"264",2020,"Europe","Greece",6,939,6,939,-0.0118192,0.4055903,0.2909985,0.529879,0.198838
"265",2021,"Europe","Greece",0,111,0,111,-0.0118192,0.4055903,0.2909985,0.529879,0.198838
"266",2020,"Europe","Greenland",0,2,0,2,1.043699,0.8137978,1.896815,1.360825,1.745989
"267",2021,"Europe","Greenland",0,2,0,2,1.043699,0.8137978,1.896815,1.360825,1.745989
"268",2020,"Europe","Hungary",0,207,0,207,-0.0010352,0.4953651,0.7325271,0.6034867,0.4931345
"269",2021,"Europe","Hungary",0,6,0,6,-0.0010352,0.4953651,0.7325271,0.6034867,0.4931345
"270",2020,"Europe","Iceland",3,33,3,33,1.707973,1.518278,1.655899,1.372984,1.766924
"271",2021,"Europe","Iceland",0,7,0,7,1.707973,1.518278,1.655899,1.372984,1.766924
"272",2020,"Europe","Ireland",0,302,0,302,1.458099,1.281375,0.9733633,1.60191,1.39423
"273",2021,"Europe","Ireland",0,16,0,16,1.458099,1.281375,0.9733633,1.60191,1.39423
"274",2020,"Europe","Isle of Man",0,7,0,7,,,,,
"275",2020,"Europe","Italy",0,5738,0,2500,0.2398421,0.4619361,0.4626993,0.9549631,0.280191
"276",2021,"Europe","Italy",0,929,0,929,0.2398421,0.4619361,0.4626993,0.9549631,0.280191
"277",2018,"Europe","Kosovo",3,145,3,145,-0.5190936,-0.4283053,-0.6640014,-0.325615,-0.3710781
"278",2019,"Europe","Kosovo",0,137,0,137,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174
"279",2020,"Europe","Kosovo",0,104,0,104,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174
"280",2021,"Europe","Kosovo",0,11,0,11,-0.5561343,-0.3494129,-0.3924663,-0.3472778,-0.3930174
"281",2020,"Europe","Latvia",0,70,0,70,0.4849398,1.105028,0.4488481,1.192686,1.013924
"282",2021,"Europe","Latvia",0,6,0,6,0.4849398,1.105028,0.4488481,1.192686,1.013924
"283",2020,"Europe","Liechtenstein",0,2,0,2,1.968311,1.696766,1.627746,1.540814,1.679333
"284",2020,"Europe","Lithuania",0,61,0,61,0.675986,1.043381,0.842194,1.157364,1.022871
"285",2021,"Europe","Lithuania",0,7,0,7,0.675986,1.043381,0.842194,1.157364,1.022871
"286",2020,"Europe","Luxembourg",0,38,0,38,2.112196,1.733646,1.362118,1.699882,1.793426
"287",2021,"Europe","Luxembourg",0,4,0,4,2.112196,1.733646,1.362118,1.699882,1.793426
"288",2020,"Europe","Malta",0,56,0,56,0.2393866,0.85842,1.090187,0.9556454,0.9522323
"289",2021,"Europe","Malta",0,2,0,2,0.2393866,0.85842,1.090187,0.9556454,0.9522323
"290",2018,"Europe","Moldova",0,189,0,189,-0.7268325,-0.4665205,-0.395564,-0.0303003,-0.4136537
"291",2019,"Europe","Moldova",0,237,0,237,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286
"292",2020,"Europe","Moldova",0,304,0,304,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286
"293",2021,"Europe","Moldova",0,38,0,38,-0.6186848,-0.3834049,-0.3827971,0.0097867,-0.3730286
"294",2020,"Europe","Monaco",0,3,0,3,,,1.591874,,
"295",2021,"Europe","Monaco",0,1,0,1,,,1.591874,,
"296",2018,"Europe","Montenegro",2,92,2,92,0.0228173,0.1311615,0.0525616,0.3582489,0.0984407
"297",2019,"Europe","Montenegro",0,146,0,146,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448
"298",2020,"Europe","Montenegro",0,357,0,357,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448
"299",2021,"Europe","Montenegro",0,8,0,8,-0.0301263,0.1562576,0.0106019,0.3652315,0.0957448
"300",2020,"Europe","Netherlands",1,730,1,730,1.999758,1.798008,0.8572519,1.861079,1.808467
"301",2021,"Europe","Netherlands",0,129,0,129,1.999758,1.798008,0.8572519,1.861079,1.808467
"302",2018,"Europe","North Macedonia",1,85,1,85,-0.3648497,0.0902431,-0.2000881,0.5263917,-0.2839102
"303",2019,"Europe","North Macedonia",0,197,0,197,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363
"304",2020,"Europe","North Macedonia",0,234,0,234,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363
"305",2021,"Europe","North Macedonia",0,22,0,22,-0.4094637,-0.0024858,-0.0492005,0.5087845,-0.2434363
"306",2020,"Europe","Norway",1,303,1,303,2.073468,1.862292,1.186128,1.804055,1.984915
"307",2021,"Europe","Norway",0,35,0,35,2.073468,1.862292,1.186128,1.804055,1.984915
"308",2020,"Europe","Poland",0,1836,0,1836,0.602715,0.6016292,0.5215149,1.014124,0.452093
"309",2021,"Europe","Poland",0,293,0,293,0.602715,0.6016292,0.5215149,1.014124,0.452093
"310",2020,"Europe","Portugal",2,373,2,373,0.7639953,1.154005,1.128248,0.969747,1.135677
"311",2021,"Europe","Portugal",0,40,0,40,0.7639953,1.154005,1.128248,0.969747,1.135677
"312",2018,"Europe","Romania",0,486,0,486,,,,,
"313",2019,"Europe","Romania",1,602,1,602,,,,,
"314",2020,"Europe","Romania",3,200,3,200,,,,,
"315",2021,"Europe","Romania",0,96,0,96,,,,,
"316",2018,"Europe","Russia",104,1544,104,1544,-0.8452116,-0.0608858,-0.5320781,-0.5463259,-0.8152295
"317",2019,"Europe","Russia",46,2101,46,2101,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885
"318",2020,"Europe","Russia",53,1624,53,1624,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885
"319",2021,"Europe","Russia",6,506,6,506,-0.8318732,0.1503649,-0.542304,-0.4316224,-0.7236885
"320",2020,"Europe","San Marino",0,5,0,5,,,0.8996959,,
"321",2018,"Europe","Serbia",5,217,5,217,-0.3702491,0.1116198,0.0172842,0.1131436,-0.1466
"322",2019,"Europe","Serbia",1,1067,1,1067,-0.4455515,0.0190787,-0.0916651,0.1138671,-0.1190698
"323",2020,"Europe","Serbia",0,413,0,413,-0.4455515,0.0190787,-0.0916651,0.1138671,-0.1190698
"324",2021,"Europe","Serbia",0,27,0,27,-0.4455515,0.0190787,-0.0916651,0.1138671,-0.1190698
"325",2020,"Europe","Slovakia",0,152,0,152,0.3272027,0.6739017,0.7827882,1.00678,0.5567357
"326",2021,"Europe","Slovakia",0,3,0,3,0.3272027,0.6739017,0.7827882,1.00678,0.5567357
"327",2020,"Europe","Slovenia",0,135,0,135,0.9058987,1.081404,0.8167541,1.008839,1.118421
"328",2021,"Europe","Slovenia",0,34,0,34,0.9058987,1.081404,0.8167541,1.008839,1.118421
"329",2020,"Europe","Spain",1,3495,1,2500,0.6467961,0.9990447,0.3228728,1.05019,0.9790522
"330",2021,"Europe","Spain",0,657,0,657,0.6467961,0.9990447,0.3228728,1.05019,0.9790522
"331",2020,"Europe","Sweden",1,958,1,958,2.118478,1.829901,1.051791,1.801675,1.906526
"332",2021,"Europe","Sweden",0,99,0,99,2.118478,1.829901,1.051791,1.801675,1.906526
"333",2020,"Europe","Switzerland",0,169,0,169,1.977295,1.95212,1.336993,1.664479,1.906641
"334",2021,"Europe","Switzerland",0,7,0,7,1.977295,1.95212,1.336993,1.664479,1.906641
"335",2018,"Europe","Ukraine",827,13560,827,2500,-0.8737929,-0.4152199,-1.858748,-0.2965778,-0.7177447
"336",2019,"Europe","Ukraine",403,16555,403,2500,-0.7095972,-0.2965825,-1.52387,-0.2586701,-0.6983514
"337",2020,"Europe","Ukraine",109,9919,109,2500,-0.7095972,-0.2965825,-1.52387,-0.2586701,-0.6983514
"338",2021,"Europe","Ukraine",9,889,9,889,-0.7095972,-0.2965825,-1.52387,-0.2586701,-0.6983514
"339",2020,"Europe","United Kingdom",5,2370,5,2370,1.774812,1.435909,0.5191886,1.625853,1.600911
"340",2021,"Europe","United Kingdom",1,80,1,80,1.774812,1.435909,0.5191886,1.625853,1.600911
"341",2020,"Europe","Vatican City",0,3,0,3,,,,,
"342",2018,"Middle Africa","Angola",40,67,40,67,-1.144679,-1.052086,-0.3166307,-0.8750386,-1.047832
"343",2019,"Middle Africa","Angola",23,63,23,63,-1.054683,-1.117144,-0.3111005,-0.8938714,-1.054343
"344",2020,"Middle Africa","Angola",74,128,74,128,-1.054683,-1.117144,-0.3111005,-0.8938714,-1.054343
"345",2021,"Middle Africa","Angola",10,24,10,24,-1.054683,-1.117144,-0.3111005,-0.8938714,-1.054343
"346",2018,"Middle Africa","Cameroon",1438,658,1000,658,-1.151188,-0.7996525,-1.393837,-0.7983038,-1.079458
"347",2019,"Middle Africa","Cameroon",1232,840,1000,840,-1.208662,-0.8121465,-1.555283,-0.8270048,-1.118909
"348",2020,"Middle Africa","Cameroon",1589,1398,1000,1398,-1.208662,-0.8121465,-1.555283,-0.8270048,-1.118909
"349",2021,"Middle Africa","Cameroon",111,159,111,159,-1.208662,-0.8121465,-1.555283,-0.8270048,-1.118909
"350",2018,"Middle Africa","Central African Republic",916,526,916,526,-1.233546,-1.720417,-2.171953,-1.367176,-1.687227
"351",2019,"Middle Africa","Central African Republic",573,300,573,300,-1.22844,-1.747201,-2.182968,-1.372812,-1.728386
"352",2020,"Middle Africa","Central African Republic",427,537,427,537,-1.22844,-1.747201,-2.182968,-1.372812,-1.728386
"353",2021,"Middle Africa","Central African Republic",145,101,145,101,-1.22844,-1.747201,-2.182968,-1.372812,-1.728386
"354",2018,"Middle Africa","Chad",259,75,259,75,-1.410568,-1.528847,-1.47283,-1.110758,-1.304976
"355",2019,"Middle Africa","Chad",567,210,567,210,-1.420567,-1.568404,-1.340024,-1.119248,-1.283358
"356",2020,"Middle Africa","Chad",738,159,738,159,-1.420567,-1.568404,-1.340024,-1.119248,-1.283358
"357",2021,"Middle Africa","Chad",50,21,50,21,-1.420567,-1.568404,-1.340024,-1.119248,-1.283358
"358",2018,"Middle Africa","Democratic Republic of Congo",2726,1567,1000,1567,-1.503585,-1.554787,-2.107878,-1.474025,-1.783715
"359",2019,"Middle Africa","Democratic Republic of Congo",3843,2634,1000,2500,-1.538931,-1.627429,-1.808007,-1.509667,-1.786088
"360",2020,"Middle Africa","Democratic Republic of Congo",5766,3385,1000,2500,-1.538931,-1.627429,-1.808007,-1.509667,-1.786088
"361",2021,"Middle Africa","Democratic Republic of Congo",649,504,649,504,-1.538931,-1.627429,-1.808007,-1.509667,-1.786088
"362",2018,"Middle Africa","Equatorial Guinea",2,5,2,5,-1.559879,-1.29438,-0.0839038,-1.544196,-1.414762
"363",2019,"Middle Africa","Equatorial Guinea",1,3,1,3,-1.722886,-1.342012,-0.1909256,-1.520516,-1.422315
"364",2020,"Middle Africa","Equatorial Guinea",0,7,0,7,-1.722886,-1.342012,-0.1909256,-1.520516,-1.422315
"365",2018,"Middle Africa","Gabon",0,28,0,28,-0.8557801,-0.8122834,-0.2450999,-0.915203,-0.7061421
"366",2019,"Middle Africa","Gabon",6,47,6,47,-0.9354914,-0.8977532,-0.1782095,-0.9571223,-0.732851
"367",2020,"Middle Africa","Gabon",4,36,4,36,-0.9354914,-0.8977532,-0.1782095,-0.9571223,-0.732851
"368",2021,"Middle Africa","Gabon",2,4,2,4,-0.9354914,-0.8977532,-0.1782095,-0.9571223,-0.732851
"369",2018,"Middle Africa","Republic of Congo",28,10,28,10,-1.358974,-1.217236,-0.339566,-1.329745,-1.101009
"370",2019,"Middle Africa","Republic of Congo",2,18,2,18,-1.409547,-1.387707,-0.8926991,-1.299436,-1.149709
"371",2020,"Middle Africa","Republic of Congo",1,14,1,14,-1.409547,-1.387707,-0.8926991,-1.299436,-1.149709
"372",2021,"Middle Africa","Republic of Congo",0,1,0,1,-1.409547,-1.387707,-0.8926991,-1.299436,-1.149709
"373",2018,"Middle East","Bahrain",0,1220,0,1220,-0.147291,0.1798774,-0.8409045,0.4169226,0.4122726
"374",2019,"Middle East","Bahrain",1,683,1,683,-0.010218,0.298761,-0.661518,0.4850985,0.4943778
"375",2020,"Middle East","Bahrain",0,249,0,249,-0.010218,0.298761,-0.661518,0.4850985,0.4943778
"376",2021,"Middle East","Bahrain",0,61,0,61,-0.010218,0.298761,-0.661518,0.4850985,0.4943778
"377",2018,"Middle East","Iran",126,2068,126,2068,-0.9589301,-0.4302173,-1.337683,-1.376154,-0.6935748
"378",2019,"Middle East","Iran",452,2541,452,2500,-1.047961,-0.5535024,-1.698151,-1.423137,-0.7493721
"379",2020,"Middle East","Iran",370,2266,370,2266,-1.047961,-0.5535024,-1.698151,-1.423137,-0.7493721
"380",2021,"Middle East","Iran",10,466,10,466,-1.047961,-0.5535024,-1.698151,-1.423137,-0.7493721
"381",2018,"Middle East","Iraq",4801,2886,1000,2500,-1.399581,-1.320548,-2.516502,-1.162634,-1.758796
"382",2019,"Middle East","Iraq",3705,3527,1000,2500,-1.336654,-1.33627,-2.564838,-1.179968,-1.722463
"383",2020,"Middle East","Iraq",2708,5853,1000,2500,-1.336654,-1.33627,-2.564838,-1.179968,-1.722463
"384",2021,"Middle East","Iraq",344,749,344,749,-1.336654,-1.33627,-2.564838,-1.179968,-1.722463
"385",2018,"Middle East","Israel",8,559,8,559,0.786691,1.208207,-0.9020357,1.246901,0.993224
"386",2019,"Middle East","Israel",8,573,8,573,0.8059544,1.325652,-0.7785231,1.280995,1.04759
"387",2020,"Middle East","Israel",0,5210,0,2500,0.8059544,1.325652,-0.7785231,1.280995,1.04759
"388",2021,"Middle East","Israel",2,1725,2,1725,0.8059544,1.325652,-0.7785231,1.280995,1.04759
"389",2018,"Middle East","Jordan",6,72,6,72,0.1495778,0.112718,-0.412433,0.0298972,0.2334316
"390",2019,"Middle East","Jordan",6,269,6,269,0.1279795,0.0994703,-0.3578623,0.0346094,0.1439575
"391",2020,"Middle East","Jordan",7,122,7,122,0.1279795,0.0994703,-0.3578623,0.0346094,0.1439575
"392",2021,"Middle East","Jordan",0,3,0,3,0.1279795,0.0994703,-0.3578623,0.0346094,0.1439575
"393",2018,"Middle East","Kuwait",0,5,0,5,-0.2894517,-0.0878059,0.1098001,0.0256516,0.2104
"394",2019,"Middle East","Kuwait",0,22,0,22,-0.132789,0.0184673,0.2003809,0.0649239,0.215674
"395",2020,"Middle East","Kuwait",1,21,1,21,-0.132789,0.0184673,0.2003809,0.0649239,0.215674
"396",2018,"Middle East","Lebanon",27,279,27,279,-1.109051,-0.6402023,-1.618437,-0.4371197,-0.764344
"397",2019,"Middle East","Lebanon",24,3231,24,2500,-1.160213,-0.8328025,-1.63874,-0.4255922,-0.8582801
"398",2020,"Middle East","Lebanon",42,2474,42,2474,-1.160213,-0.8328025,-1.63874,-0.4255922,-0.8582801
"399",2021,"Middle East","Lebanon",5,266,5,266,-1.160213,-0.8328025,-1.63874,-0.4255922,-0.8582801
"400",2018,"Middle East","Oman",0,1,0,1,0.2461315,0.1865782,0.6551499,0.1733039,0.464404
"401",2019,"Middle East","Oman",0,5,0,5,0.4521289,0.2593093,0.5934848,0.2924571,0.5544039
"402",2020,"Middle East","Oman",0,6,0,6,0.4521289,0.2593093,0.5934848,0.2924571,0.5544039
"403",2018,"Middle East","Palestine",329,1678,329,1678,-0.1954311,-0.7608902,-1.805423,0.0188407,-0.4837712
"404",2019,"Middle East","Palestine",158,2255,158,2255,-0.2595741,-0.7440846,-1.942078,0.0338156,-0.4854801
"405",2020,"Middle East","Palestine",38,1169,38,1169,-0.2595741,-0.7440846,-1.942078,0.0338156,-0.4854801
"406",2021,"Middle East","Palestine",8,283,8,283,-0.2595741,-0.7440846,-1.942078,0.0338156,-0.4854801
"407",2019,"Middle East","Qatar",0,4,0,4,0.8489959,0.7052068,0.7046954,0.6793299,0.7343184
"408",2020,"Middle East","Qatar",0,4,0,4,0.8489959,0.7052068,0.7046954,0.6793299,0.7343184
"409",2018,"Middle East","Saudi Arabia",1243,671,1000,671,0.3597602,0.3234982,-0.5525482,-0.0757623,0.1414093
"410",2019,"Middle East","Saudi Arabia",1009,297,1000,297,0.2746393,0.3064449,-0.427996,-0.0681949,0.1685559
"411",2020,"Middle East","Saudi Arabia",74,119,74,119,0.2746393,0.3064449,-0.427996,-0.0681949,0.1685559
"412",2021,"Middle East","Saudi Arabia",0,15,0,15,0.2746393,0.3064449,-0.427996,-0.0681949,0.1685559
"413",2018,"Middle East","Syria",23755,16017,1000,2500,-1.627016,-1.671169,-2.731462,-1.738145,-2.047248
"414",2019,"Middle East","Syria",15301,19641,1000,2500,-1.688553,-1.711279,-2.727996,-1.757903,-2.076063
"415",2020,"Middle East","Syria",7959,12037,1000,2500,-1.688553,-1.711279,-2.727996,-1.757903,-2.076063
"416",2021,"Middle East","Syria",1085,1754,1000,1754,-1.688553,-1.711279,-2.727996,-1.757903,-2.076063
"417",2018,"Middle East","Turkey",1833,1522,1000,1522,-0.3354134,0.0060968,-1.308683,0.0175277,-0.3194206
"418",2019,"Middle East","Turkey",951,3384,951,2500,-0.2909701,0.048386,-1.342829,-0.0073169,-0.2829632
"419",2020,"Middle East","Turkey",543,4218,543,2500,-0.2909701,0.048386,-1.342829,-0.0073169,-0.2829632
"420",2021,"Middle East","Turkey",13,681,13,681,-0.2909701,0.048386,-1.342829,-0.0073169,-0.2829632
"421",2018,"Middle East","United Arab Emirates",0,2,0,2,1.151779,1.431291,0.7123252,0.9307647,0.8058425
"422",2019,"Middle East","United Arab Emirates",0,2,0,2,1.106342,1.377221,0.7034943,0.9793252,0.8402188
"423",2020,"Middle East","United Arab Emirates",2,4,2,4,1.106342,1.377221,0.7034943,0.9793252,0.8402188
"424",2018,"Middle East","Yemen",30272,9937,1000,2500,-1.638176,-2.244354,-2.993311,-1.586586,-1.789885
"425",2019,"Middle East","Yemen",28030,11866,1000,2500,-1.681461,-2.279422,-2.768294,-1.66393,-1.773346
"426",2020,"Middle East","Yemen",19762,11794,1000,2500,-1.681461,-2.279422,-2.768294,-1.66393,-1.773346
"427",2021,"Middle East","Yemen",2071,1286,1000,1286,-1.681461,-2.279422,-2.768294,-1.66393,-1.773346
"428",2018,"North America","Mexico",8371,11632,1000,2500,-0.8544276,-0.153388,-0.5734344,0.1584301,-0.6378888
"429",2019,"North America","Mexico",9365,13446,1000,2500,-0.8210801,-0.1570084,-0.714571,0.1036798,-0.6581036
"430",2020,"North America","Mexico",8406,13622,1000,2500,-0.8210801,-0.1570084,-0.714571,0.1036798,-0.6581036
"431",2021,"North America","Mexico",1253,1762,1000,1762,-0.8210801,-0.1570084,-0.714571,0.1036798,-0.6581036
"432",2020,"North America","United States",134,23172,134,2500,1.215326,1.489182,0.2979858,1.345358,1.461094
"433",2021,"North America","United States",16,1857,16,1857,1.215326,1.489182,0.2979858,1.345358,1.461094
"434",2018,"Northern Africa","Algeria",42,584,42,584,-0.6301624,-0.4439246,-0.8265918,-1.26254,-0.7752355
"435",2019,"Northern Africa","Algeria",22,2145,22,2145,-0.6218498,-0.5161746,-1.003575,-1.303379,-0.8154638
"436",2020,"Northern Africa","Algeria",33,2186,33,2186,-0.6218498,-0.5161746,-1.003575,-1.303379,-0.8154638
"437",2021,"Northern Africa","Algeria",17,329,17,329,-0.6218498,-0.5161746,-1.003575,-1.303379,-0.8154638
"438",2018,"Northern Africa","Egypt",961,407,961,407,-0.5658687,-0.5848041,-1.170035,-0.8632245,-0.4123932
"439",2019,"Northern Africa","Egypt",1003,755,1000,755,-0.670213,-0.4235377,-1.066421,-0.827766,-0.420846
"440",2020,"Northern Africa","Egypt",626,644,626,644,-0.670213,-0.4235377,-1.066421,-0.827766,-0.420846
"441",2021,"Northern Africa","Egypt",69,78,69,78,-0.670213,-0.4235377,-1.066421,-0.827766,-0.420846
"442",2018,"Northern Africa","Libya",907,637,907,637,-1.552905,-1.847037,-2.432416,-2.284616,-1.785323
"443",2019,"Northern Africa","Libya",2086,1358,1000,1358,-1.603637,-1.922143,-2.565753,-2.346947,-1.848054
"444",2020,"Northern Africa","Libya",1496,1368,1000,1368,-1.603637,-1.922143,-2.565753,-2.346947,-1.848054
"445",2021,"Northern Africa","Libya",3,10,3,10,-1.603637,-1.922143,-2.565753,-2.346947,-1.848054
"446",2018,"Northern Africa","Morocco",7,196,7,196,-0.2173273,-0.2092959,-0.3363768,-0.2855255,-0.1386846
"447",2019,"Northern Africa","Morocco",5,876,5,876,-0.2765363,-0.1192252,-0.3693984,-0.2115284,-0.1356491
"448",2020,"Northern Africa","Morocco",4,1379,4,1379,-0.2765363,-0.1192252,-0.3693984,-0.2115284,-0.1356491
"449",2021,"Northern Africa","Morocco",4,191,4,191,-0.2765363,-0.1192252,-0.3693984,-0.2115284,-0.1356491
"450",2018,"Northern Africa","Sudan",951,643,951,643,-1.426554,-1.619857,-1.812513,-1.620749,-1.119575
"451",2019,"Northern Africa","Sudan",776,1593,776,1593,-1.366985,-1.621905,-1.673614,-1.673834,-1.140473
"452",2020,"Northern Africa","Sudan",957,1012,957,1012,-1.366985,-1.621905,-1.673614,-1.673834,-1.140473
"453",2021,"Northern Africa","Sudan",391,198,391,198,-1.366985,-1.621905,-1.673614,-1.673834,-1.140473
"454",2018,"Northern Africa","Tunisia",28,528,28,528,-0.0536738,-0.1052618,-0.8593076,-0.5130697,0.0391134
"455",2019,"Northern Africa","Tunisia",30,1469,30,1469,-0.0770505,-0.1022739,-0.8325363,-0.4372052,0.0622187
"456",2020,"Northern Africa","Tunisia",15,1772,15,1772,-0.0770505,-0.1022739,-0.8325363,-0.4372052,0.0622187
"457",2021,"Northern Africa","Tunisia",5,323,5,323,-0.0770505,-0.1022739,-0.8325363,-0.4372052,0.0622187
"458",2018,"South America","Argentina",25,1930,25,1930,-0.0702693,0.0259878,0.0192217,-0.2856962,-0.2428666
"459",2019,"South America","Argentina",17,1272,17,1272,-0.0710714,-0.0864859,-0.1199785,-0.4927526,-0.4307256
"460",2020,"South America","Argentina",19,2935,19,2500,-0.0710714,-0.0864859,-0.1199785,-0.4927526,-0.4307256
"461",2021,"South America","Argentina",1,361,1,361,-0.0710714,-0.0864859,-0.1199785,-0.4927526,-0.4307256
"462",2018,"South America","Bolivia",26,304,26,304,-0.6219789,-0.3220994,-0.2783669,-0.9080035,-1.147712
"463",2019,"South America","Bolivia",18,620,18,620,-0.7421893,-0.699218,-0.6153547,-0.9934062,-1.121389
"464",2020,"South America","Bolivia",1,781,1,781,-0.7421893,-0.699218,-0.6153547,-0.9934062,-1.121389
"465",2021,"South America","Bolivia",1,111,1,111,-0.7421893,-0.699218,-0.6153547,-0.9934062,-1.121389
"466",2018,"South America","Brazil",5428,14658,1000,2500,-0.3999677,-0.4474374,-0.3863459,-0.3239611,-0.2537811
"467",2019,"South America","Brazil",4812,10783,1000,2500,-0.3339985,-0.186738,-0.5464811,-0.177794,-0.180904
"468",2020,"South America","Brazil",4955,9791,1000,2500,-0.3339985,-0.186738,-0.5464811,-0.177794,-0.180904
"469",2021,"South America","Brazil",780,1522,780,1522,-0.3339985,-0.186738,-0.5464811,-0.177794,-0.180904
"470",2018,"South America","Chile",5,1393,5,1393,1.046754,1.084034,0.4351017,1.33739,1.089803
"471",2019,"South America","Chile",41,2923,41,2500,1.088457,1.06042,0.2063824,1.224169,1.073613
"472",2020,"South America","Chile",23,2109,23,2109,1.088457,1.06042,0.2063824,1.224169,1.073613
"473",2021,"South America","Chile",5,219,5,219,1.088457,1.06042,0.2063824,1.224169,1.073613
"474",2018,"South America","Colombia",741,1669,741,1669,-0.2874098,-0.0852262,-0.7874593,0.3173888,-0.4063349
"475",2019,"South America","Colombia",743,1812,743,1812,-0.2291671,0.0712232,-0.900254,0.3966121,-0.4169289
"476",2020,"South America","Colombia",823,1544,823,1544,-0.2291671,0.0712232,-0.900254,0.3966121,-0.4169289
"477",2021,"South America","Colombia",137,342,137,342,-0.2291671,0.0712232,-0.900254,0.3966121,-0.4169289
"478",2018,"South America","Ecuador",14,176,14,176,-0.5656243,-0.2613976,-0.0808058,-0.8689445,-0.6388752
"479",2019,"South America","Ecuador",12,427,12,427,-0.4964109,-0.3985842,-0.1890175,-0.8236187,-0.5773571
"480",2020,"South America","Ecuador",30,439,30,439,-0.4964109,-0.3985842,-0.1890175,-0.8236187,-0.5773571
"481",2021,"South America","Ecuador",1,45,1,45,-0.4964109,-0.3985842,-0.1890175,-0.8236187,-0.5773571
"482",2020,"South America","Falkland Islands",0,1,0,1,,,,,
"483",2018,"South America","French Guiana",0,39,0,39,0.9526603,1.397863,0.528242,1.305632,1.209605
"484",2020,"South America","French Guiana",0,17,0,17,0.9192378,1.387373,0.2772611,1.314049,1.165919
"485",2021,"South America","French Guiana",0,2,0,2,0.9192378,1.387373,0.2772611,1.314049,1.165919
"486",2018,"South America","Guyana",1,86,1,86,-0.2267126,-0.2694839,-0.1791495,-0.5409482,-0.372387
