"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"59",2018,"Caribbean","Saint Lucia",0,1,0,1,0.5362905,0.1956703,1.013817,0.2874379,0.6054458
"60",2019,"Caribbean","Saint Lucia",0,3,0,3,0.524743,0.2258496,0.9261938,0.2349653,0.5691295
"61",2020,"Caribbean","Saint Lucia",0,10,0,10,0.524743,0.2258496,0.9261938,0.2349653,0.5691295
"62",2020,"Caribbean","Saint Vincent and Grenadines",2,1,2,1,0.7815565,0.2258496,0.959709,0.2122325,0.4463562
"63",2019,"Caribbean","Saint-Martin",0,6,0,6,,,,,
"64",2020,"Caribbean","Saint-Martin",0,6,0,6,,,,,
"65",2018,"Caribbean","Sint Maarten",0,1,0,1,,,,,
"66",2019,"Caribbean","Sint Maarten",0,2,0,2,,,,,
"67",2020,"Caribbean","Sint Maarten",0,12,0,12,,,,,
"68",2018,"Caribbean","Trinidad and Tobago",205,342,205,342,-0.3172942,0.1902379,0.245691,-0.1039465,-0.1207149
"69",2019,"Caribbean","Trinidad and Tobago",177,273,177,273,-0.1913557,0.1001515,0.0552402,-0.150986,-0.1202659
"70",2020,"Caribbean","Trinidad and Tobago",158,307,158,307,-0.1913557,0.1001515,0.0552402,-0.150986,-0.1202659
"71",2021,"Caribbean","Trinidad and Tobago",15,59,15,59,-0.1913557,0.1001515,0.0552402,-0.150986,-0.1202659
"72",2018,"Caribbean","Turks and Caicos Islands",0,3,0,3,,,,,
"73",2019,"Caribbean","Turks and Caicos Islands",0,2,0,2,,,,,
"74",2020,"Caribbean","Turks and Caicos Islands",0,10,0,10,,,,,
"75",2021,"Caribbean","Turks and Caicos Islands",0,1,0,1,,,,,
"76",2020,"Caribbean","Virgin Islands, U.S.",0,1,0,1,0.6249012,0.8158239,1.077228,1.228176,1.090258
"77",2018,"Caucasus and Central Asia","Afghanistan",39160,12372,1000,2500,-1.496834,-1.457285,-2.751611,-1.130191,-1.668021
"78",2019,"Caucasus and Central Asia","Afghanistan",41680,13910,1000,2500,-1.401076,-1.463875,-2.649407,-1.120555,-1.713527
"79",2020,"Caucasus and Central Asia","Afghanistan",20901,7447,1000,2500,-1.401076,-1.463875,-2.649407,-1.120555,-1.713527
"80",2021,"Caucasus and Central Asia","Afghanistan",4081,1459,1000,1459,-1.401076,-1.463875,-2.649407,-1.120555,-1.713527
"81",2018,"Caucasus and Central Asia","Armenia",6,1566,6,1566,-0.3491441,-0.0243394,-0.4359334,0.3313852,-0.150221
"82",2019,"Caucasus and Central Asia","Armenia",2,1685,2,1685,-0.1841683,-0.0668174,-0.5064107,0.2495153,-0.1312758
"83",2020,"Caucasus and Central Asia","Armenia",26,1585,26,1585,-0.1841683,-0.0668174,-0.5064107,0.2495153,-0.1312758
